Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/16;nov/16;out/16;set/16;ago/16;jul/16;jun/16;mai/16;abr/16;mar/16;fev/16;jan/16;Competência;Data de atualização
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL (314668);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ADVANCE PLANOS DE SAÚDE LTDA (335657);Médico Hospitalar;Pequeno;1;1;100,00;100,00;66,67;37,50;30,00;16,67;33,33;80,00;60,00;60,00;33,33;50,00;201612;22/01/2017 02:12:18
AGEMED SAÚDE S.A. (339601);Médico Hospitalar;Grande;72;72;85,00;75,00;65,79;69,05;76,92;86,67;79,31;79,31;78,57;80,95;63,16;52,63;201612;22/01/2017 02:12:18
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ALLIANZ SAÚDE S/A (000515);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;90,91;92,31;84,62;94,12;94,44;100,00;201612;22/01/2017 02:12:18
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;50,00;50,00;66,67;100,00;100,00;66,67;25,00;40,00;33,33;201612;22/01/2017 02:12:18
AMAZONAS DISTRIBUIDORA DE ENERGIA S/A (416894);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
AMAZÔNIA PLANOS DE SAÚDE LTDA (419052);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;;;;;;;;;201612;22/01/2017 02:12:18
AME PLANOS DE SAÚDE LTDA (401196);Médico Hospitalar;Pequeno;1;112;100,00;75,00;50,00;0,00;;100,00;100,00;100,00;100,00;100,00;;100,00;201612;22/01/2017 02:12:18
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531);Médico Hospitalar;Pequeno;;;;;100,00;100,00;100,00;;;;;;100,00;100,00;201612;22/01/2017 02:12:18
