Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;jan/17;Competência;Data de atualização
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL (314668);Médico Hospitalar;Médio;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ADVANCE PLANOS DE SAÚDE LTDA (335657);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;100,00;100,00;;;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
AGEMED SAÚDE S.A. (339601);Médico Hospitalar;Grande;74;77;79,55;72,73;73,58;83,33;93,33;89,58;92,86;89,13;81,40;69,70;52,17;57,69;201712;05/02/2018 11:09:28
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ALLIANZ SAÚDE S/A (000515);Médico Hospitalar;Médio;135;155;92,00;84,62;82,14;83,87;86,84;90,00;85,71;89,13;89,13;89,74;87,10;85,71;201712;05/02/2018 11:09:28
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800);Médico Hospitalar;Médio;165;160;83,33;83,33;83,33;80,00;75,00;100,00;100,00;100,00;100,00;;100,00;80,00;201712;05/02/2018 11:09:28
AMAZONAS DISTRIBUIDORA DE ENERGIA S/A (416894);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
AMAZÔNIA PLANOS DE SAÚDE LTDA (419052);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;;;;;100,00;201712;05/02/2018 11:09:28
AME PLANOS DE SAÚDE LTDA (401196);Médico Hospitalar;Pequeno;1;106;100,00;94,74;88,24;81,25;70,00;60,00;66,67;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
AMENO ASSISTÊNCIA MÉDICA LTDA. (409464);Médico Hospitalar;Pequeno;122;139;69,09;61,02;67,86;75,56;81,25;76,00;76,47;91,67;50,00;21,82;4,44;0,00;201712;05/02/2018 11:09:28
AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;;;;;;;;201712;05/02/2018 11:09:28
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734);Médico Hospitalar;Grande;48;55;92,31;89,74;88,89;84,62;93,75;86,49;85,71;80,43;86,54;91,49;97,30;91,67;201712;05/02/2018 11:09:28
AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338);Médico Hospitalar;Pequeno;109;118;84,62;81,25;94,12;92,31;85,71;88,89;91,67;93,33;91,67;90,91;100,00;100,00;201712;05/02/2018 11:09:28
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ (401081);Médico Hospitalar;Médio;1;1;100,00;100,00;83,33;80,00;75,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
AMHA SAUDE S/A (418587);Médico Hospitalar;Médio;1;165;100,00;80,00;66,67;75,00;100,00;57,14;57,14;70,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
AMI - ASSISTÊNCIA MÉDICA INFANTIL LTDA (328332);Médico Hospitalar;Pequeno;107;113;85,71;88,24;81,25;84,62;81,82;90,00;100,00;83,33;66,67;33,33;33,33;50,00;201712;05/02/2018 11:09:28
