Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/18;nov/18;out/18;set/18;ago/18;jul/18;jun/18;mai/18;abr/18;mar/18;fev/18;jan/18;Competência;Data de atualização
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL (314668);Médico Hospitalar;Médio;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ADVANCE PLANOS DE SAÚDE LTDA (335657);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;66,67;33,33;0,00;66,67;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
AGEMED SAÚDE S.A. (339601);Médico Hospitalar;Grande;64;66;87,28;86,21;80,62;85,05;82,24;80,00;76,53;81,25;84,78;89,53;87,30;86,27;201812;16/01/2019 04:17:13
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;100,00;100,00;100,00;;201812;16/01/2019 04:17:13
ALCANCE SAÚDE LTDA. (416975);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ALLIANZ SAÚDE S/A (000515);Médico Hospitalar;Médio;1;151;100,00;94,12;88,89;90,48;95,65;92,00;85,19;79,17;84,00;85,00;90,91;94,44;201812;16/01/2019 04:17:13
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800);Médico Hospitalar;Médio;196;205;62,50;62,50;70,00;100,00;100,00;100,00;80,00;80,00;83,33;85,71;85,71;75,00;201812;16/01/2019 04:17:13
AMAZONAS DISTRIBUIDORA DE ENERGIA S/A (416894);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
AMAZÔNIA PLANOS DE SAÚDE LTDA (419052);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;;;;;;;201812;16/01/2019 04:17:13
AME PLANOS DE SAÚDE LTDA (401196);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;80,00;83,33;83,33;92,86;100,00;93,75;94,12;95,00;201812;16/01/2019 04:17:13
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA (304531);Médico Hospitalar;Pequeno;;;;;;;;100,00;100,00;100,00;100,00;100,00;;;201812;16/01/2019 04:17:13
